"","sim_number","oxcal_target","agreement_model","SimNumber","Targets","Span","Samples","Phases","Errors","OffsetVaria","model_run","accuracy_68","accuracy_95","precision_68","precision_95","off_target_68","off_target_95","Offset"
"3687",1844,"TEB4898",70.9,1844,9909,150,26,1,22,10.3126052227274,1,1,1,72,121,0,0,0
"3688",1844,"TSB5044",70.9,1844,9909,150,26,1,22,10.3126052227274,1,1,1,59.5,98.5,0,0,0
"3689",1845,"TEB377",82.2,1845,10102,109,31,1,24,3.3705323591826,1,0,1,87,143,12.5,0,0
"3690",1845,"TSB476",82.2,1845,10102,109,31,1,24,3.3705323591826,1,1,1,85,165.5,0,0,0
"3691",1846,"TEB4325",110.1,1846,2583,89,15,1,20,11.5436851179246,1,0,1,73.5,157.5,5,0,0
"3692",1846,"TSB4515",110.1,1846,2583,89,15,1,20,11.5436851179246,1,1,1,74.5,140,0,0,0
"3693",1847,"TEB5164",60.65,1847,8869,120,33,1,17,0.918355721970089,1,1,1,52.5,127.5,0,0,0
"3694",1847,"TSB5279",60.65,1847,8869,120,33,1,17,0.918355721970089,1,1,1,56,98,0,0,0
"3695",1848,"TEB11515",108.1,1848,804,171,28,1,15,4.78778118409868,1,1,1,101.5,187,0,0,0
"3696",1848,"TSB11553",108.1,1848,804,171,28,1,15,4.78778118409868,1,1,1,119,252.5,0,0,0
"3697",1849,"TEB6753",70.2,1849,3472,75,12,1,10,23.4798667793537,1,1,1,33.5,57,0,0,0
"3698",1849,"TSB6884",70.2,1849,3472,75,12,1,10,23.4798667793537,1,1,1,66,102,0,0,0
"3699",1850,"TEB6022",99.05,1850,8152,152,15,1,21,4.27218953447533,1,1,1,52.5,108.5,0,0,0
"3700",1850,"TSB6165",99.05,1850,8152,152,15,1,21,4.27218953447533,1,1,1,75,166,0,0,0
"3701",1851,"TEB10700",123.65,1851,2669,83,36,1,18,4.57705559525313,1,1,1,29.5,70.5,0,0,0
"3702",1851,"TSB10757",123.65,1851,2669,83,36,1,18,4.57705559525313,1,0,1,36,73.5,8.5,0,0
